,kokugo,shakai,sugaku,rika,ongaku,bijutu,taiiku,gika,eigo,dai1,dai2,dai3,dai4
55,42,16,29,43,38,56,58,90,2,0,1,0,0
56,33,23,48,53,56,79,32,20,6,0,0,1,0
57,29,15,20,21,3,24,10,4,0,0,0,1,0
58,83,83,58,71,96,78,53,84,92,1,0,0,0
59,73,81,94,85,85,98,50,69,95,0,0,0,1
60,66,23,78,41,36,41,34,33,86,0,0,0,1
61,71,38,80,61,36,54,48,55,84,0,0,0,1
62,62,57,91,83,73,66,25,61,78,0,0,0,1
63,47,51,69,80,52,71,31,65,40,0,0,1,0
64,53,33,50,38,14,50,17,51,69,0,0,0,1
65,61,33,50,49,37,62,32,34,48,0,0,1,0
66,21,20,39,21,38,38,34,10,7,0,0,1,0
67,74,66,65,78,49,81,50,77,76,0,0,0,1
68,72,68,42,66,31,53,10,74,84,0,0,0,1
69,50,44,47,56,46,71,40,57,75,0,0,0,1
70,5,27,29,24,20,34,11,18,1,0,0,1,0
71,32,28,14,43,25,35,25,61,23,0,0,1,0
72,23,25,26,34,18,55,14,37,8,0,0,1,0
73,34,20,23,30,11,35,9,55,6,0,0,1,0
74,70,87,84,88,67,53,35,69,91,0,0,0,1
75,9,25,23,33,38,49,16,17,9,0,0,1,0
76,61,37,39,55,45,70,37,74,24,0,0,1,0
77,34,40,36,33,45,58,30,45,67,0,0,0,1
78,38,31,33,31,33,49,11,35,21,0,0,1,0
79,72,41,36,44,27,83,96,37,31,0,1,0,0
80,32,28,32,41,30,66,96,21,10,0,1,0,0
81,52,29,32,36,19,58,65,59,27,0,1,0,0
82,96,76,90,77,62,95,86,75,91,1,0,0,0
83,58,31,46,46,48,75,61,45,16,0,1,0,0
84,35,23,17,38,32,59,76,47,36,0,1,0,0
85,40,38,7,21,20,52,62,36,23,0,1,0,0
86,48,23,41,40,36,69,81,25,23,0,1,0,0
87,46,53,34,30,39,72,76,26,27,0,1,0,0
88,32,21,24,28,25,46,65,27,1,0,1,0,0
89,50,28,29,31,39,67,78,13,7,0,1,0,0
90,76,63,74,72,48,86,76,73,72,1,0,0,0
91,64,40,30,49,36,73,91,80,41,0,1,0,0
92,62,43,14,48,60,72,86,44,15,0,1,0,0
93,76,42,58,51,54,80,87,32,39,0,1,0,0
94,81,50,61,63,81,99,93,35,49,0,1,0,0
95,69,49,30,34,44,76,76,78,40,0,1,0,0
96,89,83,73,81,60,84,95,51,68,1,0,0,0
97,27,29,34,40,29,69,78,23,40,0,1,0,0
98,39,24,26,24,7,61,87,39,15,0,1,0,0
99,62,39,42,40,38,65,87,55,34,0,1,0,0
100,73,74,74,61,76,75,89,72,78,1,0,0,0
101,49,18,27,20,26,65,77,32,28,0,1,0,0
102,35,18,28,25,27,56,69,27,4,0,1,0,0
103,36,4,15,43,21,54,78,20,32,0,1,0,0
104,16,16,25,22,2,59,74,11,40,0,1,0,0
105,60,48,67,29,52,46,85,30,54,1,0,0,0
106,74,60,57,78,34,74,78,92,71,1,0,0,0
107,22,9,6,26,2,31,63,11,1,0,1,0,0
108,47,21,26,25,10,64,88,33,23,0,1,0,0
109,43,32,74,55,56,43,76,49,39,0,1,0,0
110,84,51,76,84,78,97,83,44,95,1,0,0,0
111,65,43,38,70,63,54,82,70,26,0,1,0,0
112,49,26,62,50,20,55,75,33,82,1,0,0,0
113,31,14,8,16,7,24,57,29,2,0,1,0,0
114,83,54,44,45,45,88,85,78,81,1,0,0,0
115,87,86,77,78,85,80,89,76,76,1,0,0,0
116,68,59,60,63,61,80,97,66,63,1,0,0,0
117,68,53,41,57,47,65,97,77,71,1,0,0,0
118,28,4,37,29,42,46,74,47,14,0,1,0,0
119,42,29,33,48,43,82,86,85,38,0,1,0,0
120,42,31,47,44,28,73,79,45,32,0,1,0,0
121,70,57,60,61,46,67,76,52,76,1,0,0,0
122,58,62,40,66,50,84,96,55,46,0,1,0,0
123,57,40,43,28,57,65,83,31,32,0,1,0,0
124,8,12,0,20,6,20,43,5,1,0,0,1,0
125,44,32,31,28,26,55,82,21,37,0,1,0,0
126,65,43,36,49,42,85,86,43,30,0,1,0,0
127,81,53,78,81,80,76,96,51,80,1,0,0,0
128,57,53,75,58,76,84,70,59,69,1,0,0,0
129,64,36,20,31,53,68,99,7,26,0,1,0,0
130,86,62,78,54,69,96,82,79,64,1,0,0,0
131,34,27,48,52,57,59,89,38,39,0,1,0,0
132,84,57,45,64,58,71,83,50,79,1,0,0,0
133,4,9,5,11,19,18,37,4,4,0,0,1,0
134,23,9,5,26,15,37,70,13,3,0,1,0,0
135,66,43,54,72,54,69,78,72,53,1,0,0,0
136,53,23,28,30,40,68,64,50,18,0,1,0,0
137,70,41,44,34,16,56,69,27,6,0,1,0,0
138,78,53,45,54,55,80,86,32,45,0,1,0,0
139,39,19,5,32,15,32,58,23,10,0,1,0,0
140,74,62,44,58,63,78,84,74,66,1,0,0,0
141,33,33,32,42,47,67,88,53,11,0,1,0,0
142,43,24,29,47,32,42,67,46,18,0,1,0,0
143,54,21,43,28,44,66,77,18,14,0,1,0,0
144,26,15,13,19,8,54,77,54,8,0,1,0,0
145,58,17,34,19,39,59,85,24,14,0,1,0,0
146,29,15,37,19,6,41,48,23,12,0,0,1,0
147,73,60,59,54,70,74,84,73,65,1,0,0,0
148,59,25,45,48,37,52,75,67,32,0,1,0,0
149,58,17,31,23,24,76,91,52,25,0,1,0,0
150,70,56,76,62,67,80,86,61,88,1,0,0,0
151,19,12,9,28,10,48,62,19,5,0,1,0,0
152,29,21,26,30,10,42,59,24,6,0,1,0,0
153,32,7,14,18,10,54,53,19,7,0,1,0,0
154,77,64,87,71,85,78,91,82,71,1,0,0,0
155,91,69,100,83,96,74,91,74,91,1,0,0,0
156,50,31,53,44,50,75,88,49,58,1,0,0,0
157,63,32,43,52,43,55,93,31,56,1,0,0,0
158,42,16,27,22,11,40,91,20,20,0,1,0,0
159,68,28,60,69,53,55,95,49,36,0,1,0,0
160,70,23,43,50,34,67,71,32,46,0,1,0,0
161,82,78,80,88,80,69,83,78,90,1,0,0,0
162,0,8,2,9,5,18,42,2,1,0,0,1,0
163,45,26,29,24,31,57,68,40,27,0,1,0,0
164,73,31,43,32,59,64,82,48,56,1,0,0,0
165,60,85,89,80,56,79,81,45,85,0,0,0,0
